college id,name,autonomous,constructed_area,evening,girl_exclusive,is_foreign_students_enrolled,no_of_student_hostel,offers_loan,offers_scholarship,staff_quarter_available,student_hostel_available,year_of_establishment,auditorium,cafeteria,common_room,computer_center,conference_hall,connectivity_nkn,connectivity_nmeict,guest_house,gymnasium_fitness_center,health_center,indoor_stadium,laboratory,library,no_of_auditoriums,no_of_cafeteria,no_of_common_rooms,no_of_computer_centers,no_of_conference_halls,no_of_guest_houses,no_of_gymnasim_fitness_centers,no_of_health_centers,no_of_indoor_stadiums,no_of_laboratories,no_of_libraries,no_of_playgrounds,no_of_separate_rooms_for_girls,no_of_theatres,playground,separate_room_for_girls,solar_power_generation,theatre,score
6923, Pallagatti Adavappa Arts and Commerce First Grade College  Tiptur ,false,1750,false,false,false,2,false,true,false,true,1962,true,true,true,true,true,false,false,false,true,true,true,true,true,1,1,1,1,1,0,1,1,1,1,1,1,1,0,true,true,false,false,7.5
36928, PGP college of Engineering and Technology ,false,41740,false,false,false,4,false,true,true,true,1999,true,true,true,true,true,true,false,true,true,true,true,true,true,1,1,1,1,1,1,1,1,1,1,1,1,1,0,true,true,false,false,0
41149, Sri Sarada College for Women  V.M. Chatram  Tirunelveli - 627 011 ,false,17014.31,false,true,false,1,false,true,false,true,1986,true,true,true,true,true,false,false,true,false,true,true,true,true,1,1,1,1,1,1,0,1,1,1,1,1,1,0,true,true,true,false,2.76
28648, N.R.E.C. College Khurja (Bulandshahr) Ph.No.05738-247834  245132 ,false,25,false,false,false,1,false,true,true,true,1901,false,true,true,true,true,true,false,false,false,true,false,true,true,0,1,1,1,1,0,0,1,0,1,1,1,1,0,true,true,false,false,3.07
36733, Dr. B.R. Ambedkar Govt. P. G. (Boys) College ,false,0,false,false,false,0,false,true,false,false,1946,false,true,true,true,false,false,false,false,false,false,false,true,true,0,1,1,1,0,0,0,0,0,1,1,1,1,0,true,true,false,false,7
20831, Mont Fort  College  Old Madrass Road  Bl-38 ,false,36415,false,false,false,2,true,true,true,true,1998,true,true,true,true,true,false,false,true,false,false,false,true,true,1,1,1,1,1,1,0,0,0,1,1,1,1,0,true,true,false,false,3.04
17769, S.M.R. Arts & Commerce College  Shankaraghatta. ,false,1269.69,false,false,false,0,true,true,false,false,1986,true,true,false,true,false,false,false,true,true,true,false,true,true,1,1,0,1,0,1,1,1,0,1,1,1,0,0,true,false,false,false,1.68
11702, Sree Sankara College  Kalady 683 574 ,false,22,false,false,false,0,false,false,false,false,1954,true,true,true,true,true,false,false,false,false,false,false,true,true,1,1,1,1,1,0,0,0,0,5,1,1,1,0,true,true,false,false,2.82
42593, MAHARANI LAL KUNWARI SNATKOTTAR MAHAVIDYALAYA  BALRAMPUR ,false,21310,false,false,false,2,false,true,true,true,1955,true,true,true,true,true,false,false,true,true,true,true,true,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,true,true,true,true,3.25
41934, Jai Hind Sindhu Education Trusts Manganmal Udharam College of Commerce  Pimpri Pune 17 ,false,3558.25,false,false,false,0,false,true,false,false,1983,false,true,true,true,true,false,false,false,true,true,false,false,true,0,1,1,1,1,0,1,1,0,0,1,1,1,0,true,true,false,false,2.21
7005, Sri Siddartha Arts  Science and Commerce First Grade College ,false,7310.86,false,false,false,1,false,true,false,true,1983,true,true,false,true,true,false,false,true,true,true,false,true,true,1,1,0,1,1,1,1,1,0,1,1,1,0,0,true,false,false,false,0.71
24966, Govt. Maharshi Valmiki College Bhanupratappur ,false,1638,false,false,false,2,false,true,false,true,1983,true,true,true,true,true,false,true,true,false,false,true,true,true,1,1,1,1,1,1,0,0,1,4,1,2,0,0,true,false,true,false,7
11452, RGM Mem. Govt. College  Jogindernagar  Distt Mandi ,false,4536,false,false,false,0,false,true,false,false,1994,false,false,true,true,false,false,false,false,true,false,false,true,true,0,0,1,1,0,0,1,0,0,1,1,1,0,0,true,false,false,false,7.2
7620, Bahirji Smarak Mahavidyalaya  Vasmat ,false, NA ,false,false,false,1,false,true,false,true,1971,false,true,true,true,true,false,false,false,true,false,true,true,true,0,1,1,1,1,0,1,0,1,1,1,1,1,0,true,true,false,false,7
17253, Kamrup College ,false,12141,false,false,false,1,false,true,false,true,1966,true,true,true,true,true,true,true,false,false,false,false,true,true,1,1,1,1,1,0,0,0,0,1,1,1,1,0,true,true,false,false,7.8
36176, B.R.Nahta College Of Pharmacy P.Box No.6 Mhow Neemuch Rd.Mandsour-458001 ,false,4488,false,false,false,2,false,true,true,true,1995,true,true,true,true,true,false,false,true,true,true,true,true,true,1,1,1,1,1,1,1,1,1,9,1,1,1,1,true,true,false,true,2.78
